action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
[producing3],143,414.5286237815789,11,23,25,17,false,false,false,10,false,14,false,18,false
[producing],144,418.4205382336076,12,23,25,18,false,false,false,10,false,14,false,18,false
[producing2],145,420.1665390881406,12,24,25,19,false,false,false,10,false,14,false,18,false
[producing2],146,436.9133266484684,12,25,25,20,false,false,false,10,false,14,false,18,false
[producing2],147,441.23765629591526,12,26,25,21,false,false,false,10,false,14,false,18,false
[con_ready1],148,442.28987598253207,12,26,25,21,true,false,false,10,true,14,false,18,false
[consuming1],149,442.60614755550046,12,26,25,20,false,false,false,11,false,14,false,18,false
[producing3],150,450.1621361824839,12,26,26,21,false,false,false,11,false,14,false,18,false
[producing],151,454.8469579183217,13,26,26,22,false,false,false,11,false,14,false,18,false
[producing],152,461.19897322249784,14,26,26,23,false,false,false,11,false,14,false,18,false
[producing2],153,473.6067598239165,14,27,26,24,false,false,false,11,false,14,false,18,false
[producing2],154,474.1953175596882,14,28,26,25,false,false,false,11,false,14,false,18,false
[con_ready2],155,474.5358993067855,14,28,26,25,false,true,false,11,false,14,true,18,false
[consuming2],156,474.7987247548994,14,28,26,24,false,false,false,11,false,15,false,18,false
[con_ready2],157,477.00419486727003,14,28,26,24,false,true,false,11,false,15,true,18,false
[consuming2],158,477.9120506528102,14,28,26,23,false,false,false,11,false,16,false,18,false
[producing3],159,480.5396256688468,14,28,27,24,false,false,false,11,false,16,false,18,false
[producing2],160,484.79529052509116,14,29,27,25,false,false,false,11,false,16,false,18,false
[con_ready2],161,494.53458390998696,14,29,27,25,false,true,false,11,false,16,true,18,false
[consuming2],162,494.59923390547385,14,29,27,24,false,false,false,11,false,17,false,18,false
[producing2],163,502.4122676623685,14,30,27,25,false,false,false,11,false,17,false,18,false
[con_ready2],164,503.5563952347949,14,30,27,25,false,true,false,11,false,17,true,18,false
[consuming2],165,503.5817255594986,14,30,27,24,false,false,false,11,false,18,false,18,false
[producing3],166,508.3521771470708,14,30,28,25,false,false,false,11,false,18,false,18,false
[con_ready3],167,508.5827930631528,14,30,28,25,false,false,true,11,false,18,false,18,true
[consuming3],168,509.96999836705925,14,30,28,24,false,false,false,11,false,18,false,19,false
[con_ready2],169,514.3318074278359,14,30,28,24,false,true,false,11,false,18,true,19,false
[consuming2],170,516.7765513868028,14,30,28,23,false,false,false,11,false,19,false,19,false
[con_ready2],171,527.8410901010708,14,30,28,23,false,true,false,11,false,19,true,19,false
[consuming2],172,529.5853592257284,14,30,28,22,false,false,false,11,false,20,false,19,false
[producing3],173,535.0596079097613,14,30,29,23,false,false,false,11,false,20,false,19,false
[producing2],174,539.3258395214439,14,31,29,24,false,false,false,11,false,20,false,19,false
[con_ready3],175,539.8860827379895,14,31,29,24,false,false,true,11,false,20,false,19,true
[consuming3],176,540.0724495034832,14,31,29,23,false,false,false,11,false,20,false,20,false
[producing2],177,540.2058409156105,14,32,29,24,false,false,false,11,false,20,false,20,false
[producing2],178,541.6101587040534,14,33,29,25,false,false,false,11,false,20,false,20,false
[con_ready3],179,543.2733273354393,14,33,29,25,false,false,true,11,false,20,false,20,true
[consuming3],180,548.3753820107925,14,33,29,24,false,false,false,11,false,20,false,21,false
[producing],181,555.296573539726,15,33,29,25,false,false,false,11,false,20,false,21,false
[producing],182,558.8409988697628,16,33,29,26,false,false,false,11,false,20,false,21,false
[producing3],183,561.269016749367,16,33,30,27,false,false,false,11,false,20,false,21,false
[producing3],184,561.7219953525529,16,33,31,28,false,false,false,11,false,20,false,21,false
[producing],185,563.247121690318,17,33,31,29,false,false,false,11,false,20,false,21,false
[con_ready1],186,579.712982744486,17,33,31,29,true,false,false,11,true,20,false,21,false
[consuming1],187,580.5780824233093,17,33,31,28,false,false,false,12,false,20,false,21,false
[con_ready3],188,592.881009719819,17,33,31,28,false,false,true,12,false,20,false,21,true
[consuming3],189,593.1846816279782,17,33,31,27,false,false,false,12,false,20,false,22,false
