action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
[con_ready11],164,733.5500696247491,14,14,17,3,false,false,false,11,false,12,false,19,false,12,1,true,false,false,5,true,4,false,2,false
[consuming11],165,733.5714295154526,14,14,17,3,false,false,false,11,false,12,false,19,false,12,0,false,false,false,6,false,4,false,2,false
[con_ready2],166,733.6903799262392,14,14,17,3,false,true,false,11,false,12,true,19,false,12,0,false,false,false,6,false,4,false,2,false
[consuming2],167,734.531137985128,14,14,17,2,false,false,false,11,false,13,false,19,false,12,0,false,false,false,6,false,4,false,2,false
[producing3],168,739.0821014455911,14,14,18,3,false,false,false,11,false,13,false,19,false,12,0,false,false,false,6,false,4,false,2,false
[forwarding],169,743.3184920591312,14,14,18,3,false,false,false,11,false,13,false,19,false,13,1,false,false,false,6,false,4,false,2,false
[con_ready11],170,747.4144827158782,14,14,18,3,false,false,false,11,false,13,false,19,false,13,1,true,false,false,6,true,4,false,2,false
[con_ready1],171,747.4729125610733,14,14,18,3,true,false,false,11,true,13,false,19,false,13,1,true,false,false,6,true,4,false,2,false
[consuming1],172,747.8839767645726,14,14,18,2,false,false,false,12,false,13,false,19,false,13,1,true,false,false,6,true,4,false,2,false
[consuming11],173,750.8104851279254,14,14,18,2,false,false,false,12,false,13,false,19,false,13,0,false,false,false,7,false,4,false,2,false
[con_ready2],174,751.599479695485,14,14,18,2,false,true,false,12,false,13,true,19,false,13,0,false,false,false,7,false,4,false,2,false
[consuming2],175,751.6298299534254,14,14,18,1,false,false,false,12,false,14,false,19,false,13,0,false,false,false,7,false,4,false,2,false
[producing3],176,758.6244143296617,14,14,19,2,false,false,false,12,false,14,false,19,false,13,0,false,false,false,7,false,4,false,2,false
[producing],177,760.1413547287917,15,14,19,3,false,false,false,12,false,14,false,19,false,13,0,false,false,false,7,false,4,false,2,false
[forwarding],178,765.4479527291403,15,14,19,3,false,false,false,12,false,14,false,19,false,14,1,false,false,false,7,false,4,false,2,false
[con_ready2],179,772.0751066486847,15,14,19,3,false,true,false,12,false,14,true,19,false,14,1,false,false,false,7,false,4,false,2,false
[consuming2],180,775.8124995022504,15,14,19,2,false,false,false,12,false,15,false,19,false,14,1,false,false,false,7,false,4,false,2,false
[con_ready3],181,776.316340725768,15,14,19,2,false,false,true,12,false,15,false,19,true,14,1,false,false,false,7,false,4,false,2,false
[consuming3],182,776.6535687816304,15,14,19,1,false,false,false,12,false,15,false,20,false,14,1,false,false,false,7,false,4,false,2,false
[producing2],183,778.5157570789961,15,15,19,2,false,false,false,12,false,15,false,20,false,14,1,false,false,false,7,false,4,false,2,false
[forwarding],184,779.3147883228089,15,15,19,2,false,false,false,12,false,15,false,20,false,15,2,false,false,false,7,false,4,false,2,false
[producing2],185,780.639815395642,15,16,19,3,false,false,false,12,false,15,false,20,false,15,2,false,false,false,7,false,4,false,2,false
[con_ready13],186,781.3752531772782,15,16,19,3,false,false,false,12,false,15,false,20,false,15,2,false,false,true,7,false,4,false,2,true
[consuming13],187,783.0858759831877,15,16,19,3,false,false,false,12,false,15,false,20,false,15,1,false,false,false,7,false,4,false,3,false
[con_ready2],188,785.0141002295778,15,16,19,3,false,true,false,12,false,15,true,20,false,15,1,false,false,false,7,false,4,false,3,false
[consuming2],189,785.4089910046356,15,16,19,2,false,false,false,12,false,16,false,20,false,15,1,false,false,false,7,false,4,false,3,false
[con_ready13],190,790.2653167123501,15,16,19,2,false,false,false,12,false,16,false,20,false,15,1,false,false,true,7,false,4,false,3,true
[consuming13],191,790.3249468180097,15,16,19,2,false,false,false,12,false,16,false,20,false,15,0,false,false,false,7,false,4,false,4,false
[producing3],192,792.3060766256269,15,16,20,3,false,false,false,12,false,16,false,20,false,15,0,false,false,false,7,false,4,false,4,false
[con_ready1],193,796.3747314445253,15,16,20,3,true,false,false,12,true,16,false,20,false,15,0,false,false,false,7,false,4,false,4,false
[consuming1],194,796.4924507612889,15,16,20,2,false,false,false,13,false,16,false,20,false,15,0,false,false,false,7,false,4,false,4,false
[con_ready2],195,801.6692372181552,15,16,20,2,false,true,false,13,false,16,true,20,false,15,0,false,false,false,7,false,4,false,4,false
[consuming2],196,802.1336045524588,15,16,20,1,false,false,false,13,false,17,false,20,false,15,0,false,false,false,7,false,4,false,4,false
[producing2],197,806.862161836905,15,17,20,2,false,false,false,13,false,17,false,20,false,15,0,false,false,false,7,false,4,false,4,false
[con_ready3],198,819.8167920084135,15,17,20,2,false,false,true,13,false,17,false,20,true,15,0,false,false,false,7,false,4,false,4,false
[consuming3],199,820.8134228065308,15,17,20,1,false,false,false,13,false,17,false,21,false,15,0,false,false,false,7,false,4,false,4,false
[producing],200,823.5598938763118,16,17,20,2,false,false,false,13,false,17,false,21,false,15,0,false,false,false,7,false,4,false,4,false
[con_ready2],201,825.1069154467252,16,17,20,2,false,true,false,13,false,17,true,21,false,15,0,false,false,false,7,false,4,false,4,false
[consuming2],202,825.7368275706241,16,17,20,1,false,false,false,13,false,18,false,21,false,15,0,false,false,false,7,false,4,false,4,false
[producing2],203,836.104476073981,16,18,20,2,false,false,false,13,false,18,false,21,false,15,0,false,false,false,7,false,4,false,4,false
[producing2],204,836.4273478097413,16,19,20,3,false,false,false,13,false,18,false,21,false,15,0,false,false,false,7,false,4,false,4,false
[con_ready3],205,846.7808610634897,16,19,20,3,false,false,true,13,false,18,false,21,true,15,0,false,false,false,7,false,4,false,4,false
[consuming3],206,847.5479921759672,16,19,20,2,false,false,false,13,false,18,false,22,false,15,0,false,false,false,7,false,4,false,4,false
[producing2],207,850.221028225732,16,20,20,3,false,false,false,13,false,18,false,22,false,15,0,false,false,false,7,false,4,false,4,false
[con_ready1],208,855.3528900553952,16,20,20,3,true,false,false,13,true,18,false,22,false,15,0,false,false,false,7,false,4,false,4,false
[consuming1],209,855.8223601782055,16,20,20,2,false,false,false,14,false,18,false,22,false,15,0,false,false,false,7,false,4,false,4,false
[producing],210,858.5084066909924,17,20,20,3,false,false,false,14,false,18,false,22,false,15,0,false,false,false,7,false,4,false,4,false
[forwarding],211,870.330470304854,17,20,20,3,false,false,false,14,false,18,false,22,false,16,1,false,false,false,7,false,4,false,4,false
[con_ready1],212,871.0471066095915,17,20,20,3,true,false,false,14,true,18,false,22,false,16,1,false,false,false,7,false,4,false,4,false
[consuming1],213,871.3472125095227,17,20,20,2,false,false,false,15,false,18,false,22,false,16,1,false,false,false,7,false,4,false,4,false
[con_ready1],214,872.5166905482408,17,20,20,2,true,false,false,15,true,18,false,22,false,16,1,false,false,false,7,false,4,false,4,false
[consuming1],215,872.5672676765928,17,20,20,1,false,false,false,16,false,18,false,22,false,16,1,false,false,false,7,false,4,false,4,false
[con_ready1],216,874.5841655204189,17,20,20,1,true,false,false,16,true,18,false,22,false,16,1,false,false,false,7,false,4,false,4,false
[consuming1],217,874.7731959186384,17,20,20,0,false,false,false,17,false,18,false,22,false,16,1,false,false,false,7,false,4,false,4,false
[producing],218,879.6886738339743,18,20,20,1,false,false,false,17,false,18,false,22,false,16,1,false,false,false,7,false,4,false,4,false
[con_ready11],219,880.7525059327902,18,20,20,1,false,false,false,17,false,18,false,22,false,16,1,true,false,false,7,true,4,false,4,false
[consuming11],220,880.8047673170777,18,20,20,1,false,false,false,17,false,18,false,22,false,16,0,false,false,false,8,false,4,false,4,false
[con_ready1],221,889.8844541307261,18,20,20,1,true,false,false,17,true,18,false,22,false,16,0,false,false,false,8,false,4,false,4,false
[consuming1],222,890.2585472400598,18,20,20,0,false,false,false,18,false,18,false,22,false,16,0,false,false,false,8,false,4,false,4,false
[forwarding],223,901.9777228162784,18,20,20,0,false,false,false,18,false,18,false,22,false,17,1,false,false,false,8,false,4,false,4,false
[con_ready13],224,902.7188805737518,18,20,20,0,false,false,false,18,false,18,false,22,false,17,1,false,false,true,8,false,4,false,4,true
[consuming13],225,903.5539037465395,18,20,20,0,false,false,false,18,false,18,false,22,false,17,0,false,false,false,8,false,4,false,5,false
[forwarding],226,993.7936595759938,18,20,20,0,false,false,false,18,false,18,false,22,false,18,1,false,false,false,8,false,4,false,5,false
[producing],227,1005.9656001623235,19,20,20,1,false,false,false,18,false,18,false,22,false,18,1,false,false,false,8,false,4,false,5,false
[con_ready12],228,1017.4518991205877,19,20,20,1,false,false,false,18,false,18,false,22,false,18,1,false,true,false,8,false,4,true,5,false
[consuming12],229,1018.2686908694767,19,20,20,1,false,false,false,18,false,18,false,22,false,18,0,false,false,false,8,false,5,false,5,false
[producing],230,1020.2656656033585,20,20,20,2,false,false,false,18,false,18,false,22,false,18,0,false,false,false,8,false,5,false,5,false
[con_ready2],231,1033.769557468281,20,20,20,2,false,true,false,18,false,18,true,22,false,18,0,false,false,false,8,false,5,false,5,false
[consuming2],232,1034.1103277419393,20,20,20,1,false,false,false,18,false,19,false,22,false,18,0,false,false,false,8,false,5,false,5,false
