action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,f2,c3,getting3,f3,b1,serving11,serving12,serving13,b2,serving21,serving22,serving23,c11,getting11,c12,getting12,c13,getting13,c21,getting21,c22,getting22,c23,getting23
[con_ready3],94,284.51599472625236,5,7,17,8,false,false,true,11,false,5,false,3,5,true,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[consuming3],95,286.4618226544808,5,7,17,7,false,false,false,11,false,5,false,3,6,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[producing3],96,289.0801510638918,5,7,18,8,false,false,false,11,false,5,false,3,6,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[producing2],97,289.91482635033213,5,8,18,9,false,false,false,11,false,5,false,3,6,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[con_ready11],98,290.21387348130116,5,8,18,9,false,false,false,11,false,5,false,3,6,false,5,1,true,false,false,0,false,false,false,1,true,0,false,1,false,2,false,3,false,0,false
[consuming11],99,290.5235991003012,5,8,18,9,false,false,false,11,false,5,false,3,6,false,5,0,false,false,false,0,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[producing3],100,293.88875562283926,5,8,19,10,false,false,false,11,false,5,false,3,6,false,5,0,false,false,false,0,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[con_ready2],101,297.73159043096285,5,8,19,10,false,true,false,11,false,5,true,3,6,false,5,0,false,false,false,0,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[consuming2],102,297.96753356335233,5,8,19,9,false,false,false,11,false,6,false,3,6,false,5,0,false,false,false,0,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[forwarding3],103,298.8585655243189,5,8,19,9,false,false,false,11,false,6,false,3,6,false,6,0,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[con_ready2],104,302.57010684798445,5,8,19,9,false,true,false,11,false,6,true,3,6,false,6,0,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[consuming2],105,303.3718560035589,5,8,19,8,false,false,false,11,false,7,false,3,6,false,6,0,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[producing2],106,305.26134698646996,5,9,19,9,false,false,false,11,false,7,false,3,6,false,6,0,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[con_ready1],107,305.38236297536486,5,9,19,9,true,false,false,11,true,7,false,3,6,false,6,0,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[consuming1],108,305.84619352585855,5,9,19,8,false,false,false,12,false,7,false,3,6,false,6,0,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[con_ready1],109,308.1276149123201,5,9,19,8,true,false,false,12,true,7,false,3,6,false,6,0,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[consuming1],110,308.508191524499,5,9,19,7,false,false,false,13,false,7,false,3,6,false,6,0,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[producing],111,309.55039712328823,6,9,19,8,false,false,false,13,false,7,false,3,6,false,6,0,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[con_ready1],112,311.65918763652763,6,9,19,8,true,false,false,13,true,7,false,3,6,false,6,0,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[forwarding2],113,312.16370668993704,6,9,19,8,true,false,false,13,true,7,false,4,6,false,6,1,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[consuming1],114,312.9685740654046,6,9,19,7,false,false,false,14,false,7,false,4,6,false,6,1,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[producing3],115,314.33063216244267,6,9,20,8,false,false,false,14,false,7,false,4,6,false,6,1,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[con_ready3],116,314.4391588663324,6,9,20,8,false,false,true,14,false,7,false,4,6,true,6,1,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[consuming3],117,315.86521952554,6,9,20,7,false,false,false,14,false,7,false,4,7,false,6,1,false,false,false,1,false,false,false,2,false,0,false,1,false,2,false,3,false,0,false
[con_ready21],118,319.7478651056767,6,9,20,7,false,false,false,14,false,7,false,4,7,false,6,1,false,false,false,1,true,false,false,2,false,0,false,1,false,2,true,3,false,0,false
[consuming21],119,319.84995327227614,6,9,20,7,false,false,false,14,false,7,false,4,7,false,6,1,false,false,false,0,false,false,false,2,false,0,false,1,false,3,false,3,false,0,false
[producing2],120,320.39018701260494,6,10,20,8,false,false,false,14,false,7,false,4,7,false,6,1,false,false,false,0,false,false,false,2,false,0,false,1,false,3,false,3,false,0,false
[con_ready11],121,322.331305098574,6,10,20,8,false,false,false,14,false,7,false,4,7,false,6,1,true,false,false,0,false,false,false,2,true,0,false,1,false,3,false,3,false,0,false
[consuming11],122,322.8510387611599,6,10,20,8,false,false,false,14,false,7,false,4,7,false,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[con_ready3],123,323.1227192189338,6,10,20,8,false,false,true,14,false,7,false,4,7,true,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[consuming3],124,323.9799049907115,6,10,20,7,false,false,false,14,false,7,false,4,8,false,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[con_ready2],125,340.1883660728171,6,10,20,7,false,true,false,14,false,7,true,4,8,false,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[consuming2],126,341.2470611652573,6,10,20,6,false,false,false,14,false,8,false,4,8,false,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[producing],127,349.2082107027047,7,10,20,7,false,false,false,14,false,8,false,4,8,false,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[con_ready3],128,350.99747953797186,7,10,20,7,false,false,true,14,false,8,false,4,8,true,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[consuming3],129,351.21894387402364,7,10,20,6,false,false,false,14,false,8,false,4,9,false,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[producing2],130,354.9084696990611,7,11,20,7,false,false,false,14,false,8,false,4,9,false,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[con_ready3],131,360.2170287248052,7,11,20,7,false,false,true,14,false,8,false,4,9,true,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[consuming3],132,360.7819475603886,7,11,20,6,false,false,false,14,false,8,false,4,10,false,6,0,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
